tick,time,measurement_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,speed_kph,forward_speed_kph,lateral_speed_mps,yaw_rate_rad_s,lateral_accel_mps2,slip_angle_deg,slip_angle_valid,airborne,grounded_wheels,engine_rpm,engine_torque,drivetrain_torque,gear,shifting,nitrous_active,nitrous_seconds,raw_steering,raw_throttle,raw_brake,raw_handbrake,raw_nitrous,final_steering,final_throttle,final_brake,final_handbrake,final_nitrous,handling,assist_yaw_torque,average_longitudinal_slip
64,1.27999938,0.279999375,4.678869E-09,0.6897331,20.58654,-9.238507E-09,0.08424062,11.4486589,-7.10421943E-08,0.395732373,-0.7605076,41.27084,41.2638054,8.88377549E-09,-1.548099E-09,-7.225589E-08,4.44650929E-08,1,0,4,3401.94922,-16.6796627,-155.617249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.49994082E-06,0.00407798449
65,1.29999936,0.299999356,4.486165E-09,0.691501737,20.8147945,-1.02780229E-08,0.0912399441,11.4332247,-5.19758032E-08,0.349966079,-0.771713257,41.2162857,41.2097244,8.077662E-09,-1.21175414E-09,-5.32258362E-08,4.04843057E-08,1,0,4,3397.35449,-16.64903,-155.331451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.17036279E-06,0.00406749826
66,1.31999934,0.319999337,4.299298E-09,0.693389952,21.042778,-1.12671046E-08,0.0969517455,11.4175892,-4.9454087E-08,0.285590082,-0.7817745,41.16092,41.1547852,7.24394766E-09,-9.30246657E-10,-5.07342151E-08,3.635504E-08,1,0,4,3392.45581,-16.6163731,-155.026764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,9.160861E-07,0.00406926963
67,1.33999932,0.339999318,4.05595468E-09,0.6953672,21.2704887,-1.185055E-08,0.101122968,11.4017792,-2.91722646E-08,0.208561122,-0.790500641,41.104805,41.09907,6.86054857E-09,-1.0067448E-09,-3.04827381E-08,3.44781839E-08,1,0,4,3387.32251,-16.58215,-154.707474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,7.03266437E-07,0.004080316
68,1.3599993,0.3599993,3.79857168E-09,0.6974001,21.4979229,-1.27651605E-08,0.103614129,11.3858185,-4.573053E-08,0.124558061,-0.798034668,41.04802,41.0426865,6.14267837E-09,-9.927378E-10,-4.70693919E-08,3.091339E-08,1,0,4,3382.014,-16.5467587,-154.377289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,7.61099045E-07,0.00409809127
69,1.37999928,0.37999928,3.48733487E-09,0.6994538,21.7250767,-1.35116327E-08,0.104387186,11.3697338,-3.73236126E-08,0.0386528671,-0.804233551,40.9906425,40.9857063,5.568733E-09,-7.893102E-10,-3.86861778E-08,2.80643366E-08,1,0,4,3376.58521,-16.5105686,-154.039642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,7.50509741E-07,0.004120376
70,1.39999926,0.399999261,3.11697246E-09,0.7014952,21.9519463,-1.45168935E-08,0.103490919,11.353549,-5.026304E-08,-0.04481338,-0.809240341,40.932766,40.9282265,4.74527E-09,-7.412456E-10,-5.16471275E-08,2.39482656E-08,1,0,4,3371.07983,-16.4738655,-153.6972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,5.96718451E-07,0.00414529629
71,1.41999924,0.419999242,2.762602E-09,0.7034923,22.1785259,-1.57625131E-08,0.101041846,11.337285,-6.228098E-08,-0.122453645,-0.8131981,40.8744736,40.87033,3.63228558E-09,-6.10285045E-10,-6.368223E-08,1.83574489E-08,1,0,4,3365.5376,-16.4369183,-153.3525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,5.603817E-07,0.00417103851
72,1.43999922,0.439999223,2.387048E-09,0.705417633,22.4048119,-1.64692366E-08,0.09720922,11.320961,-3.533618E-08,-0.191631168,-0.816202164,40.8158455,40.8121,3.05779047E-09,-5.946898E-10,-3.67528123E-08,1.547615E-08,1,0,4,3359.99023,-16.3999348,-153.007446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,4.613755E-07,0.0041961465
73,1.4599992,0.4599992,2.01372252E-09,0.707246542,22.6307983,-1.71616659E-08,0.09219615,11.3045931,-3.462146E-08,-0.250653565,-0.8183956,40.75696,40.75361,2.456705E-09,-4.465454E-10,-3.60495136E-08,1.24518582E-08,1,0,4,3354.46387,-16.3630924,-152.663727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,4.49585485E-07,0.004219475
74,1.47999918,0.479999185,1.6390066E-09,0.708959937,22.8564835,-1.762112E-08,0.08622678,11.2881937,-2.29727348E-08,-0.2984684,-0.8199692,40.6978874,40.694912,2.05080219E-09,-2.948728E-10,-2.44085783E-08,1.04095843E-08,1,0,4,3348.97754,-16.3265171,-152.322479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,3.37588318E-07,0.00424011657
75,1.49999917,0.499999166,1.25146271E-09,0.7105423,23.0818615,-1.79509456E-08,0.07953118,11.2717752,-1.64912528E-08,-0.3347803,-0.820922852,40.63868,40.6360664,1.74067338E-09,-1.37120926E-10,-1.79312689E-08,8.848248E-09,1,0,4,3343.54663,-16.29031,-151.98468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,2.22923831E-07,0.00425733067
76,1.51999915,0.519999146,8.93624952E-10,0.7119837,23.30693,-1.82964381E-08,0.07233662,11.2553473,-1.72746262E-08,-0.35972783,-0.8213997,40.5794,40.57712,1.40538425E-09,-1.52403534E-10,-1.87179161E-08,7.15429849E-09,1,0,4,3338.18164,-16.2545433,-151.650986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.03663417E-07,0.00427087257
77,1.53999913,0.5399991,5.797635E-10,0.7132776,23.5316887,-1.8252484E-08,0.06485709,11.2389183,2.19770868E-09,-0.373976678,-0.8214474,40.52009,40.51812,1.45115209E-09,-1.70665385E-10,7.519496E-10,7.3980635E-09,1,0,4,3332.887,-16.2192459,-151.321671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.1521707E-07,0.00428045541
78,1.55999911,0.5599991,2.28425E-10,0.714422,23.7561283,-1.77991542E-08,0.0572888032,11.2224951,2.26664909E-08,-0.378414243,-0.82116127,40.4607773,40.45909,1.91569072E-09,-1.4426349E-10,2.12189022E-08,9.780579E-09,1,0,4,3327.66675,-16.1844463,-150.997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.29023022E-07,0.00428623334
79,1.57999909,0.5799991,-1.26837152E-10,0.715418339,23.9802513,-1.78393762E-08,0.04980456,11.2060823,-2.0111024E-09,-0.374212116,-0.820636749,40.40151,40.4000664,1.91990424E-09,-2.88691626E-10,-3.46249429E-09,9.816426E-09,1,0,4,3322.51855,-16.1501236,-150.676773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,1.09063194E-07,0.00428834325
