tick,time,measurement_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,speed_kph,forward_speed_kph,lateral_speed_mps,yaw_rate_rad_s,lateral_accel_mps2,slip_angle_deg,slip_angle_valid,airborne,grounded_wheels,engine_rpm,engine_torque,drivetrain_torque,gear,shifting,nitrous_active,nitrous_seconds,raw_steering,raw_throttle,raw_brake,raw_handbrake,raw_nitrous,final_steering,final_throttle,final_brake,final_handbrake,final_nitrous,handling,assist_yaw_torque,average_longitudinal_slip
900,18.0002213,17.0002213,383.8794,0.720648766,209.608856,34.6777344,-0.00111927011,-18.9063072,-2.11486816,0.000153417932,-4.8116684,142.156662,142.03096,-1.66057014,0.133080691,5.213517,-2.40960336,1,0,4,5825.79639,253.071808,1127.2345,3,0,0,0,0.12,1,0,0,0,0.0299143959,1,0,0,0,Grip,-66.68585,0.020141948
901,18.0202217,17.0202217,384.572174,0.7206267,209.2289,34.6351471,-0.00111606764,-19.00244,-2.129364,0.000160123454,-4.806614,142.188324,142.062531,-1.6613903,0.13308239,5.21489954,-2.41025925,1,0,4,5827.014,252.9789,1126.82068,3,0,0,0,0.12,1,0,0,0,0.029908333,1,0,0,0,Grip,-66.69295,0.020134721
902,18.0402222,17.0402222,385.2641,0.720604241,208.847031,34.59227,-0.00111320766,-19.0984688,-2.14385986,0.000142998761,-4.801464,142.219864,142.094,-1.66220284,0.133084327,5.21624374,-2.41090536,1,0,4,5828.22852,252.886292,1126.4082,3,0,0,0,0.12,1,0,0,0,0.0299022961,1,0,0,0,Grip,-66.70108,0.020127587
903,18.0602226,17.0602226,385.9552,0.720582247,208.463242,34.5491066,-0.00110978179,-19.1943932,-2.158165,0.0001712935,-4.796219,142.251328,142.125336,-1.66302109,0.133083344,5.21745,-2.4115603,1,0,4,5829.438,252.794067,1125.99744,3,0,0,0,0.12,1,0,0,0,0.0298962723,1,0,0,0,Grip,-66.70937,0.0201203115
904,18.0802231,17.0802231,386.645416,0.7205601,208.077545,34.5056534,-0.00110683253,-19.2902126,-2.17266083,0.000147463288,-4.79097366,142.282715,142.156631,-1.66383362,0.133085191,5.21879864,-2.41220927,1,0,4,5830.64258,252.702286,1125.58862,3,0,0,0,0.12,1,0,0,0,0.0298902616,1,0,0,0,Grip,-66.71545,0.02011333
905,18.1002235,17.1002235,387.334778,0.7205378,207.689911,34.4619141,-0.00110376417,-19.3859253,-2.186966,0.000153417932,-4.785633,142.31398,142.18779,-1.66464424,0.133085921,5.22001,-2.41285563,1,0,4,5831.84863,252.6104,1125.17932,3,0,0,0,0.12,1,0,0,0,0.029884275,1,0,0,0,Grip,-66.72363,0.02010614
906,18.120224,17.120224,388.023224,0.720516,207.300385,34.4178848,-0.0011007553,-19.4815311,-2.20146179,0.00015044352,-4.78029251,142.345184,142.218887,-1.665451,0.13308768,5.221364,-2.41349864,1,0,4,5833.04834,252.519028,1124.77234,3,0,0,0,0.12,1,0,0,0,0.0298782978,1,0,0,0,Grip,-66.7309647,0.0200992078
907,18.1402245,17.1402245,388.710815,0.7204939,206.908936,34.37357,-0.00109843165,-19.57703,-2.215767,0.000116182491,-4.774952,142.376282,142.249878,-1.66626358,0.1330869,5.22266054,-2.41415,1,0,4,5834.245,252.427917,1124.36646,3,0,0,0,0.12,1,0,0,0,0.0298723448,1,0,0,0,Grip,-66.7390442,0.02009213
908,18.1602249,17.1602249,389.3975,0.720472,206.515579,34.328968,-0.00109606329,-19.67242,-2.230072,0.000118417665,-4.769516,142.407288,142.280838,-1.66706657,0.1330878,5.22391939,-2.41478944,1,0,4,5835.4375,252.337112,1123.962,3,0,0,0,0.12,1,0,0,0,0.0298664067,1,0,0,0,Grip,-66.74519,0.02008516
909,18.1802254,17.1802254,390.083282,0.7204503,206.120331,34.28408,-0.001093561,-19.7677,-2.24437714,0.000125117367,-4.76398468,142.438217,142.311646,-1.66787148,0.133088619,5.22514,-2.41543269,1,0,4,5836.62744,252.2466,1123.55884,3,0,0,0,0.12,1,0,0,0,0.0298604835,1,0,0,0,Grip,-66.75259,0.02007803
910,18.2002258,17.2002258,390.768158,0.7204282,205.72316,34.238903,-0.00109138619,-19.86287,-2.258873,0.000108737731,-4.75845337,142.46907,142.342392,-1.66867065,0.133091629,5.226506,-2.41606879,1,0,4,5837.813,252.1564,1123.1571,3,0,0,0,0.12,1,0,0,0,0.0298545789,1,0,0,0,Grip,-66.7599,0.0200711153
911,18.2202263,17.2202263,391.452148,0.7204067,205.3241,34.19344,-0.00108854123,-19.9579277,-2.273178,0.000142247882,-4.752922,142.4998,142.373062,-1.66946983,0.133091137,5.22781372,-2.41670656,1,0,4,5838.998,252.066284,1122.75574,3,0,0,0,0.12,1,0,0,0,0.0298486948,1,0,0,0,Grip,-66.76885,0.0200640112
912,18.2402267,17.2402267,392.1352,0.720384836,204.923126,34.14769,-0.00108594948,-20.0528736,-2.28748322,0.000129587715,-4.74729538,142.530457,142.403625,-1.67025948,0.133092791,5.229084,-2.417332,1,0,4,5840.174,251.976913,1122.35767,3,0,0,0,0.12,1,0,0,0,0.0298428237,1,0,0,0,Grip,-66.77514,0.02005705
913,18.2602272,17.2602272,392.817352,0.7203632,204.520279,34.1016579,-0.00108247891,-20.147707,-2.3015976,0.000173528679,-4.7416687,142.56102,142.434082,-1.67105293,0.133092731,5.23029327,-2.4179635,1,0,4,5841.35,251.887527,1121.95947,3,0,0,0,0.12,1,0,0,0,0.0298369732,1,0,0,0,Grip,-66.78302,0.020049952
914,18.2802277,17.2802277,393.498566,0.7203417,204.115524,34.05534,-0.00107857632,-20.2424259,-2.31590271,0.000195129542,-4.73594666,142.591492,142.464478,-1.67184639,0.133093819,5.23156929,-2.41859674,1,0,4,5842.519,251.798721,1121.564,3,0,0,0,0.12,1,0,0,0,0.0298311356,1,0,0,0,Grip,-66.7896,0.0200430267
915,18.3002281,17.3002281,394.178864,0.7203202,203.708878,34.0087357,-0.00107459933,-20.33703,-2.33020782,0.000198849011,-4.73022461,142.621887,142.494766,-1.672636,0.133093491,5.232889,-2.41922474,1,0,4,5843.689,251.709885,1121.16821,3,0,0,0,0.12,1,0,0,0,0.0298253186,1,0,0,0,Grip,-66.79701,0.0200361088
916,18.3202286,17.3202286,394.8582,0.720298767,203.300339,33.9618454,-0.00107057765,-20.4315186,-2.344513,0.000201084185,-4.724407,142.652191,142.524979,-1.67341614,0.133092865,5.23417234,-2.41984224,1,0,4,5844.85352,251.621445,1120.77429,3,0,0,0,0.12,1,0,0,0,0.0298195127,1,0,0,0,Grip,-66.80335,0.02002925
917,18.340229,17.340229,395.5366,0.7202775,202.889923,33.9146729,-0.00106636225,-20.5258923,-2.35862732,0.00021076994,-4.718685,142.682388,142.555054,-1.6742,0.133093625,5.235473,-2.42046452,1,0,4,5846.01563,251.533264,1120.38147,3,0,0,0,0.12,1,0,0,0,0.029813733,1,0,0,0,Grip,-66.80943,0.02002236
918,18.36023,17.36023,396.21402,0.7202562,202.477615,33.867218,-0.00106238527,-20.6201477,-2.3727417,0.000198849011,-4.71277237,142.712524,142.585129,-1.67498016,0.1330954,5.23665762,-2.42108321,1,0,4,5847.17236,251.445511,1119.9906,3,0,0,0,0.12,1,0,0,0,0.02980796,1,0,0,0,Grip,-66.81655,0.020015616
919,18.38023,17.38023,396.890533,0.7202351,202.063416,33.81948,-0.00105861679,-20.714283,-2.386856,0.000188424019,-4.706764,142.742554,142.615067,-1.67576218,0.133095443,5.23780537,-2.42170548,1,0,4,5848.33057,251.357651,1119.59924,3,0,0,0,0.12,1,0,0,0,0.0298022125,1,0,0,0,Grip,-66.82441,0.0200088546
920,18.40023,17.40023,397.56604,0.720214,201.647339,33.77146,-0.00105541432,-20.8083,-2.40097046,0.000160123454,-4.70085144,142.7725,142.644943,-1.67653275,0.1330958,5.23907566,-2.42231345,1,0,4,5849.482,251.270355,1119.21045,3,0,0,0,0.12,1,0,0,0,0.0297964755,1,0,0,0,Grip,-66.83095,0.0200021751
921,18.42023,17.42023,398.240631,0.7201928,201.229385,33.72316,-0.00105245016,-20.9021969,-2.41508484,0.000148208346,-4.69484329,142.802383,142.674667,-1.677309,0.133095056,5.24031,-2.42292953,1,0,4,5850.63232,251.183167,1118.82214,3,0,0,0,0.12,1,0,0,0,0.0297907572,1,0,0,0,Grip,-66.83771,0.01999543
922,18.4402313,17.4402313,398.914246,0.7201719,200.809555,33.6745758,-0.0010496499,-20.9959717,-2.42919922,0.000140012708,-4.68874,142.832169,142.704391,-1.67808914,0.133097082,5.24150848,-2.42355251,1,0,4,5851.77734,251.096375,1118.43555,3,0,0,0,0.12,1,0,0,0,0.0297850538,1,0,0,0,Grip,-66.843605,0.0199887119
923,18.4602318,17.4602318,399.586853,0.720150948,200.387848,33.6257133,-0.00104743056,-21.0896244,-2.44312286,0.000110967085,-4.68263626,142.861847,142.734024,-1.6788559,0.133098185,5.242642,-2.42415833,1,0,4,5852.92,251.009842,1118.05,3,0,0,0,0.12,1,0,0,0,0.029779369,1,0,0,0,Grip,-66.8515854,0.01998214
924,18.4802322,17.4802322,400.2585,0.72013,199.964279,33.57657,-0.0010451515,-21.183157,-2.45723724,0.000113953138,-4.676628,142.891464,142.763519,-1.67962456,0.133097142,5.244005,-2.42476726,1,0,4,5854.06055,250.923477,1117.66541,3,0,0,0,0.12,1,0,0,0,0.0297737,1,0,0,0,Grip,-66.85885,0.0199753679
925,18.5002327,17.5002327,400.929138,0.720109344,199.538834,33.52714,-0.00104290235,-21.2765636,-2.47135162,0.0001124572,-4.670334,142.921,142.792953,-1.68038559,0.1330975,5.245176,-2.425367,1,0,4,5855.196,250.837524,1117.28259,3,0,0,0,0.12,1,0,0,0,0.0297680423,1,0,0,0,Grip,-66.86448,0.01996874
926,18.5202332,17.5202332,401.598816,0.720088363,199.111526,33.4774361,-0.0010408021,-21.3698483,-2.48527527,0.000105012441,-4.66423035,142.950424,142.8223,-1.68116,0.133097142,5.246437,-2.42598677,1,0,4,5856.327,250.751877,1116.901,3,0,0,0,0.12,1,0,0,0,0.02976241,1,0,0,0,Grip,-66.87113,0.0199620333
927,18.5402336,17.5402336,402.2675,0.7200677,198.682358,33.42745,-0.00103829976,-21.463007,-2.49938965,0.000125117367,-4.657936,142.9798,142.851578,-1.68191528,0.133099332,5.247694,-2.42658019,1,0,4,5857.45459,250.6666,1116.52124,3,0,0,0,0.12,1,0,0,0,0.0297567882,1,0,0,0,Grip,-66.8772354,0.0199553631
928,18.5602341,17.5602341,402.93512,0.720047,198.251328,33.377182,-0.0010359165,-21.5560379,-2.51331329,0.000119162723,-4.65154648,143.009064,142.880783,-1.68267441,0.133100972,5.24880743,-2.42718053,1,0,4,5858.58154,250.58136,1116.14148,3,0,0,0,0.12,1,0,0,0,0.0297511816,1,0,0,0,Grip,-66.8852539,0.0199488159
929,18.5802345,17.5802345,403.601776,0.7200263,197.818436,33.3266373,-0.00103328,-21.6489429,-2.527237,0.00013182289,-4.645252,143.038239,142.909851,-1.68343925,0.133099765,5.250041,-2.4277904,1,0,4,5859.70361,250.496536,1115.76367,3,0,0,0,0.12,1,0,0,0,0.0297455974,1,0,0,0,Grip,-66.89282,0.0199421123
930,18.600235,17.600235,404.2674,0.720005751,197.3837,33.2758141,-0.00103061378,-21.7417221,-2.54116058,0.000133313,-4.638958,143.067337,142.938873,-1.68419266,0.13310127,5.251317,-2.4283843,1,0,4,5860.82227,250.411957,1115.387,3,0,0,0,0.12,1,0,0,0,0.0297400262,1,0,0,0,Grip,-66.89823,0.0199356265
931,18.6202354,17.6202354,404.932,0.719985247,196.9471,33.2247124,-0.00102805183,-21.8343716,-2.55508423,0.0001280976,-4.632473,143.096359,142.9678,-1.68494415,0.133098811,5.252481,-2.42897749,1,0,4,5861.938,250.327667,1115.01147,3,0,0,0,0.12,1,0,0,0,0.0297344681,1,0,0,0,Grip,-66.90567,0.0199290588
932,18.6402359,17.6402359,405.595581,0.7199646,196.508652,33.1733322,-0.0010261155,-21.9268913,-2.56900787,9.68168E-05,-4.625988,143.12529,142.996613,-1.68568993,0.133099109,5.253688,-2.42956328,1,0,4,5863.05029,250.243652,1114.63733,3,0,0,0,0.12,1,0,0,0,0.0297289286,1,0,0,0,Grip,-66.9100952,0.0199227687
933,18.6602364,17.6602364,406.258118,0.719944239,196.068359,33.1216736,-0.00102443236,-22.01928,-2.58293152,8.41566361E-05,-4.61940765,143.154144,143.0254,-1.68644333,0.133099809,5.2548604,-2.43016052,1,0,4,5864.1626,250.159653,1114.26318,3,0,0,0,0.12,1,0,0,0,0.0297234,1,0,0,0,Grip,-66.91659,0.0199163
934,18.6802368,17.6802368,406.919647,0.719923735,195.6262,33.06974,-0.00102303212,-22.1115379,-2.59666443,7.00121745E-05,-4.61292267,143.1829,143.0541,-1.68717575,0.133098915,5.256042,-2.43073058,1,0,4,5865.269,250.076126,1113.89111,3,0,0,0,0.12,1,0,0,0,0.0297178943,1,0,0,0,Grip,-66.92336,0.0199098177
